fichier,ligne,mot_suspect,original,modernise
Jarry_Ubu_1896_bpt6k709226.tsv,385,bouzine,"De par ma chandelle verte, je me suis rompu l’inteſtin et crevé la bouzine !","De par ma chandelle verte, je me suis rompu l'intestin et crevé la bouzine!"
LaFayette1678_Cleves_btv1b8610820b_corrected_numb_seg_replace.tsv,1,QUelque,"QVelque approbation qu'ait eu cette Hiſtoire dans les lectures qu'on en a faites, l'Autheur n'a pu ſe reſoudre à ſe declarer;","QUelque approbation qu'ait eu cette Histoire dans les lectures qu'on en a faites, l'Auteur n'a pu se résoudre à se déclarer;"
LaFayette1678_Cleves_btv1b8610820b_corrected_numb_seg_replace.tsv,59,d'Aumale,"Le Duc d’Aumale, Frere du Duc de Guiſe, avoit épouſé une de ſes filles:","Le Duc d'Aumale, Frère du Duc de Guise, avait épousé une de ses filles:"
LaFayette1678_Cleves_btv1b8610820b_corrected_numb_seg_replace.tsv,62,Piennes,"Ce mariage avoit eu beaucoup d’obſtacles, par les promeſſes que Monſieur de Montmorency avoit faites à Mademoiſelle de Piennes, une des filles d’honneur de la Reine:","Ce mariage avait eu beaucoup d'obstacles, par les promesses que Monsieur de Montmorency avait faites à Mademoiselle de Piennes, une des filles d'honneur de la Reine:"
LaFayette1678_Cleves_btv1b8610820b_corrected_numb_seg_replace.tsv,67,d'Anville,"il luy avoit parlé avec aigreur, & meſme avec mépris; elle voyoit qu'il prenoit des liaiſons avec la Reine; de ſorte que le Conneſtable la trouva diſpoſée à s’unir avec luy, & à entrer dans ſon alliance, par le mariage de Mademoiſelle de la Marck ſa petite fille, avec Monſieur d’Anville ſon ſecond fils, qui ſucceda depuis à ſa Charge ſous le regne de Charles IX.","il lui avait parlé avec aigreur, et même avec mépris; elle voyait qu'il prenait des liaisons avec la Reine; de sorte que le Connétable la trouva disposée à s'unir avec lui, et à entrer dans son alliance, par le mariage de Mademoiselle de la Marck sa petite fille, avec Monsieur d'Anville son second fils, qui succéda depuis à sa Charge sous le règne de Charles IX."
LaFayette1678_Cleves_btv1b8610820b_corrected_numb_seg_replace.tsv,68,d'Anville,"Le Conneſtable ne crût pas trouver d'obſtacles dans l'eſprit de Monſieur d’Anville pour un mariage, comme il en avoit trouvé dans l’eſprit de Monſieur de Montmorency;","Le Connétable ne crut pas trouver d'obstacles dans l'esprit de Monsieur d'Anville pour un mariage, comme il en avait trouvé dans l'esprit de Monsieur de Montmorency;"
LaFayette1678_Cleves_btv1b8610820b_corrected_numb_seg_replace.tsv,70,d'Anville,"Monſieur d’Anville eſtoit éperduëment amoureux de la Reine Dauphine, & quelque peu d'eſperance qu'il euſt dans cette paſſion, il ne pouvoit ſe reſoudre à prendre un engagement qui partageroit ſes ſoins.","Monsieur d'Anville était éperdument amoureux de la Reine Dauphine, et quelque peu d'espérance qu'il eût dans cette passion, il ne pouvait se résoudre à prendre un engagement qui partagerait ses soins."
LaFayette1678_Cleves_btv1b8610820b_corrected_numb_seg_replace.tsv,79,Renty,Il avoit gagné en perſonne la bataille de Renty; le Piémont avoit eſté conquis;,Il avait gagné en personne la bataille de Renty; le Piémont avait été conquis;
LaFayette1678_Cleves_btv1b8610820b_corrected_numb_seg_replace.tsv,84,Cercan,"Enfin Cercan dans le païs d’Artois, fut choiſi pour le lieu où l’on devoit s’aſſembler.","Enfin Cercan dans le pays d'Artois, fut choisi pour le lieu où l'on devait s'assembler."
LaFayette1678_Cleves_btv1b8610820b_corrected_numb_seg_replace.tsv,86,d'Albe,"Le Duc d'Albe & le Prince d’Orange, pour Philippe II. & le Duc & la Ducheſſe de Lorraine furent les Mediateurs.","Le Duc d'Albe et le Prince d'Orange, pour Philippe II. et le Duc et la Duchesse de Lorraine furent les Médiateurs."
LaFayette1678_Cleves_btv1b8610820b_corrected_numb_seg_replace.tsv,89,Randan,"Il envoya le Comte de Randan à Elizabeth, ſur ſon avenement à la Couronne;","Il envoya le Comte de Randan à Élisabeth, sur son avènement à la Couronne;"
LaFayette1678_Cleves_btv1b8610820b_corrected_numb_seg_replace.tsv,93,Randan,"Elle luy parla tant de fois de ce Prince, & avec tant d’empreſſement, que quand Monſieur de Randan fut revenu, & qu’il rendit compte au Roy de ſon voyage, il luy dit qu’il n’y avoit rien que Monſieur de Nemours ne pûſt pretendre auprés de cette Princeſſe, & qu’il ne doutoit point qu’elle ne fuſt capable de l'epouſer.","Elle lui parla tant de fois de ce Prince, et avec tant d'empressement, que quand Monsieur de Randan fut revenu, et qu'il rendit compte au Roi de son voyage, il lui dit qu'il n'y avait rien que Monsieur de Nemours ne pût prétendre auprès de cette Princesse, et qu'il ne doutait point qu'elle ne fût capable de l'épouser."
LaFayette1678_Cleves_btv1b8610820b_corrected_numb_seg_replace.tsv,94,Randan,"Le Roy en parla à ce Prince dés le soir meſme, il luy fit conter par Monſieur de Randan toutes ſes converſations avec Elizabeth, & luy conſeilla de tenter cette grande fortune.","Le Roi en parla à ce Prince dés le soir même, il lui fit conter par Monsieur de Randan toutes ses conversations avec Élisabeth, et lui conseilla de tenter cette grande fortune."
LaFayette1678_Cleves_btv1b8610820b_corrected_numb_seg_replace.tsv,98,Randan,"Monſieur de Randan conſeilloit à Monſieur de Nemours d’aller en Angleterre ſur le ſimple pretexte de voyager, mais ce Prince ne pûſt s’y reſoudre.","Monsieur de Randan conseillait à Monsieur de Nemours d'aller en Angleterre sur le simple prétexte de voyager, mais ce Prince ne put s'y résoudre."
Laclos_liaisons_1782_btv1b8613394v.tsv,10,LXXXII,M. DCC. LXXXII,M. DCC. LXXXII
Laclos_liaisons_1782_btv1b8613394v.tsv,13,Tanville,"& je crois que la ſuperbe Tanville (I) aura plus de chagrin à ma premiere viſite, où je compte bien la demander, qu’elle n’a cru nous en faire toutes les fois qu’elle eſt venue nous voir in fiocchi.","et je crois que la superbe Tanville (I) aura plus de chagrin à ma première visite, où je compte bien la demander, qu'elle n'a cru nous en faire toutes les fois qu'elle est venue nous voir in fiocchi."
Laclos_liaisons_1782_btv1b8613394v.tsv,47,Demoi,"» ſaluant, voilà une charmante Demoi","» saluant, voilà une charmante Demoi"
Laclos_liaisons_1782_btv1b8613394v.tsv,105,m'appaise,"Mais je m’appaiſe, & l’eſpoir de me venger raſſérene mon ame.","Mais je m'appaise, et l'espoir de me venger rassérène mon âme."
Laclos_liaisons_1782_btv1b8613394v.tsv,112,seroit,mais le plaiſant ſeroit qu’il débutât par-là.,mais le plaisant seroit qu'il débutât par là.
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_l.tsv,11,CHRISANTE,"CHRISANTE, ils ſont deffaits, & C'eſt noſtre deſtin","CHRISANTE, ils sont défaits, et C'est notre destin"
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_l.tsv,20,Lorsqu'avec,Lors qu'auec ces grands cris ils ſont venus aux mains:,Lorsqu'avec ces grands cris ils sont venus aux mains:
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_l.tsv,38,Bellonne,Ont ſeruy par malheur de victime à Bellonne:,Ont servi par malheur de victime à Bellonne:
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_l.tsv,49,Astyage,Que le vieux Aſtiage en receura de ioye!,Que le vieux Astyage en recevra de joie!
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_l.tsv,64,Nembrod,Que l'orgueil de Nembrot eſleua iuſqu'aux Cieux.,Que l'orgueil de Nembrod éleva jusqu'aux Cieux.
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_l.tsv,65,CHRISANTE,CHRISANTE.,CHRISANTE.
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_l.tsv,109,Qu'Abradate,Qu'Abradate en aura quelque reſſentiment:,Qu'Abradate en aura quelque ressentiment:
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_l.tsv,112,quelqu'autre,"En quelqu'autre rencontre il s'en reſſentira,","En quelqu'autre rencontre il s'en ressentira,"
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_l.tsv,121,Hidaspe,"Hidaſpe, c'eſt ainſi","Hidaspe, c'est ainsi"
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_l.tsv,136,d'Abradate,"Si toſt que d'Abradate on aura des nouuelles,","Sitôt que d'Abradate on aura des nouvelles,"
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_l.tsv,154,qu'aujourd'huy,"Et de qui le merite eſt ſi grand, qu'aujourd'huy","Et de qui le mérite est si grand, qu'aujourd'huy"
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_l.tsv,232,Suze,Icy comme dans SuZe on vous obeira.,Ici comme dans Suze on vous obéira.
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_l.tsv,257,Hidaspe,"Hidaſpe, il ſe peut faire, & des Dieux bons & ſages","Hidaspe, il se peut faire, et des Dieux bons et sages"
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_l.tsv,271,Cirus,"Cirus eſt vn miracle en rares qualiteZ,","Cirus est un miracle en rares qualités,"
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_l.tsv,279,Cirus,"Cirus n'euſt peu me faire vn traitement ſi doux,","Cirus n'eût pu me faire un traitement si doux,"
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_l.tsv,296,Charis,"Charis, qu'on le ſecoure, il tombe en defaillance:","Charis, qu'on le secoure, il tombe en défaillance:"
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_l.tsv,330,Charis,"Charis eſt vne noble & diuine perſonne,","Charis est une noble et divine personne,"
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_l.tsv,416,qu'Abradate,Au moins autant de temps qu'Abradate viura.,Au moins autant de temps qu'Abradate vivra.
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_l.tsv,443,CHaris,"CHaris, conſole moy dans mes ſecrets tourmens,","CHaris, console-moi dans mes secrets tourments,"
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_l.tsv,445,Arbradate,Penſe-tu qu'auiourd'huy mon Arbradate arriue?,Penses-tu qu'aujourd'hui mon Arbradate arrive?
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_l.tsv,448,Charis,Tu dis vn iour Charis? c'eſt trop pour mon amour,Tu dis un jour Charis? c'est trop pour mon amour
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_l.tsv,462,Ames,Qui ſeparent les corps de deux Ames vnies.,Qui séparent les corps de deux Ames unies.
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_l.tsv,480,Charis,"Charis, le plus ſouuent on fait naufrage au port.","Charis, le plus souvent on fait naufrage au port."
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_l.tsv,490,d'Abradate,M'a fait voir d'Abradate vne image viuante.,M'a fait voir d'Abradate une image vivante.
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_l.tsv,517,Charis,"Mais Charis, que dis-tu de ce funeſte ſonge?","Mais Charis, que dis-tu de ce funeste songe?"
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_l.tsv,530,Charis,"Charis, ie te veux croire:","Charis, je te veux croire:"
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_l.tsv,539,QU'est-ce,QV'eſt-ce qu'eſcrit Araſpe en cette ſolitude?,QU'est-ce qu'écrit Araspe en cette solitude?
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_l.tsv,566,Charis,"Nullement, parlez haut, Charis n'eſcoute pas.","Nullement, parlez haut, Charis n'écoute pas."
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_numb_seg_replace.tsv,1,PANTHÉE,A Peine peut-on s'imaginer qu’il y ait aſſeZ de matiere en l'auanture de PANTHEE pour faire deux Actes entiers:,À Peine peut-on s'imaginer qu'il y ait assez de matière en l'aventure de PANTHÉE pour faire deux Actes entiers:
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_numb_seg_replace.tsv,6,finissements,& l'autre n'a receu ſes finiſſemens que dans les interuales d’vne maladie.,et l'autre n'a reçu ses finissements que dans les intervalles d'une maladie.
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_numb_seg_replace.tsv,12,Mondori,"Il eſt ayſé de deuiner que c'eſt de l'accident du celebre Mondory, qu'elle a receu du prejudice.","Il est aisé de deviner que c'est de l'accident du célèbre Mondori, qu'elle a reçu du préjudice."
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_numb_seg_replace.tsv,25,ARASPE,"Sans cette eſpece d’apoplexie dont il n'eſt pas encore guery parfaitement, il auroit fait valoir ARASPE außi bien qu'Herode, & donné de fauorables impreßions de cét Ouurage auant qu'il paruſt ſur le papier.","Sans cette espèce d'apoplexie dont il n'est pas encore guéri parfaitement, il aurait fait valoir ARASPE aussi bien qu'Hérode, et donné de favorables impressions de cet Ouvrage avant qu'il parût sur le papier."
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_numb_seg_replace.tsv,32,d'Abradate,"2. Panthée vient trouuer Cirus dans ſa Tente pour le remercier du bon traittement qu'elle en reçoit, & pour l’aſſeurer du ſeruice d’Abradate ſon mary.","2. Panthée vient trouver Cyrus dans sa Tente pour le remercier du bon traitement qu'elle en reçoit, et pour l'assurer du service d'Abradate son mari."
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_numb_seg_replace.tsv,34,Charis,"4. Charis apprent de luy ſa paſſion, eſsaye de le guerir par la raiſon: & le plaint voyant ſa maladie incurable.","4. Charis apprend de lui sa passion, essaie de le guérir par la raison: et le plaint voyant sa maladie incurable."
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_numb_seg_replace.tsv,38,Charis,2. Panthée parle à Charis de l’impatience qu’elle a de revoir Abradate;,2. Panthée parle à Charis de l'impatience qu'elle a de revoir Abradate;
Lhermite1639_Panthee_bpt6k15110748_corrected_numb_choice_replaceInside_numb_seg_replace.tsv,39,Charis,"Et luy fait le recit d’vn ſonge qui l’eſpouuente; Charis la conſole de cét ennuy, & toutes deux aperçoiuent Araſpe eſcriuant.","Et lui fait le récit d'un songe qui l'épouvante; Charis la console de cet ennui, et toutes deux aperçoivent Araspe écrivant."
Malherbe_vers_1611_bpt6k1525515n.tsv,7,Calis,"Iuſqu'au riuage de Calis,","Jusqu'au rivage de Calis,"
Malherbe_vers_1611_bpt6k1525515n.tsv,29,naguères,Que nagueres ſous les Buſires,Que naguères sous les Busires
Malherbe_vers_1611_bpt6k1525515n.tsv,29,Busires,Que nagueres ſous les Buſires,Que naguères sous les Busires
Malherbe_vers_1611_bpt6k1525515n.tsv,123,Orfées,Rempliront de nouueaux Orfées,Rempliront de nouveaux Orfées
Mendez1645_Voyages_bpt6k6580459m_numb_seg_replace.tsv,5,Tartarie,"Car mon intention n’eſt autre que de l’eſcrire pour eux, afin qu’à l’aduenir ils puiſſent voir combien grandes ont eſté les fortunes que i’ay couruës par l’eſpace de vingt & vn an, que i’ay eſté treize fois captif, & dix-ſept fois vendu aux Indes, en Ethiopie, en l’Arabie heureuſe, à la Chine, en Tartarie, à Madagaſcar, en Sumatra, & en pluſieurs autres Royaumes & Prouinces de cet Oriental Archipelago, des confins de l’Aſie, que les Autheurs Chinois, Siames, Gueos, & Lecquiens, nomment auec raiſon en leur Geographie, les paupieres du monde, de quoy i’eſpere traitter cy apres en particulier & fort amplement, par où les hommes pourront prendre exemple à l’aduenir, & reſolution à ne perdre courage, quelques trauerſes & trauaux de la vie qui leur arriuent.","Car mon intention n'est autre que de l'écrire pour eux, afin qu'à l'avenir ils puissent voir combien grandes ont été les fortunes que j'ai courues par l'espace de vingt et un an, que j'ai été treize fois captif, et dix-sept fois vendu aux Indes, en Éthiopie, en l'Arabie heureuse, à la Chine, en Tartarie, à Madagascar, en Sumatra, et en plusieurs autres Royaumes et Provinces de cet Oriental Archipelago, des confins de l'Asie, que les Auteurs Chinois, Siames, Gueos, et Lecquiens, nomment avec raison en leur Géographie, les paupières du monde, de quoi j'espère traiter ci après en particulier et fort amplement, par où les hommes pourront prendre exemple à l'avenir, et résolution à ne perdre courage, quelques traverses et travaux de la vie qui leur arrivent."
Mendez1645_Voyages_bpt6k6580459m_numb_seg_replace.tsv,5,Archipelago,"Car mon intention n’eſt autre que de l’eſcrire pour eux, afin qu’à l’aduenir ils puiſſent voir combien grandes ont eſté les fortunes que i’ay couruës par l’eſpace de vingt & vn an, que i’ay eſté treize fois captif, & dix-ſept fois vendu aux Indes, en Ethiopie, en l’Arabie heureuſe, à la Chine, en Tartarie, à Madagaſcar, en Sumatra, & en pluſieurs autres Royaumes & Prouinces de cet Oriental Archipelago, des confins de l’Aſie, que les Autheurs Chinois, Siames, Gueos, & Lecquiens, nomment auec raiſon en leur Geographie, les paupieres du monde, de quoy i’eſpere traitter cy apres en particulier & fort amplement, par où les hommes pourront prendre exemple à l’aduenir, & reſolution à ne perdre courage, quelques trauerſes & trauaux de la vie qui leur arriuent.","Car mon intention n'est autre que de l'écrire pour eux, afin qu'à l'avenir ils puissent voir combien grandes ont été les fortunes que j'ai courues par l'espace de vingt et un an, que j'ai été treize fois captif, et dix-sept fois vendu aux Indes, en Éthiopie, en l'Arabie heureuse, à la Chine, en Tartarie, à Madagascar, en Sumatra, et en plusieurs autres Royaumes et Provinces de cet Oriental Archipelago, des confins de l'Asie, que les Auteurs Chinois, Siames, Gueos, et Lecquiens, nomment avec raison en leur Géographie, les paupières du monde, de quoi j'espère traiter ci après en particulier et fort amplement, par où les hommes pourront prendre exemple à l'avenir, et résolution à ne perdre courage, quelques traverses et travaux de la vie qui leur arrivent."
Mendez1645_Voyages_bpt6k6580459m_numb_seg_replace.tsv,5,Siames,"Car mon intention n’eſt autre que de l’eſcrire pour eux, afin qu’à l’aduenir ils puiſſent voir combien grandes ont eſté les fortunes que i’ay couruës par l’eſpace de vingt & vn an, que i’ay eſté treize fois captif, & dix-ſept fois vendu aux Indes, en Ethiopie, en l’Arabie heureuſe, à la Chine, en Tartarie, à Madagaſcar, en Sumatra, & en pluſieurs autres Royaumes & Prouinces de cet Oriental Archipelago, des confins de l’Aſie, que les Autheurs Chinois, Siames, Gueos, & Lecquiens, nomment auec raiſon en leur Geographie, les paupieres du monde, de quoy i’eſpere traitter cy apres en particulier & fort amplement, par où les hommes pourront prendre exemple à l’aduenir, & reſolution à ne perdre courage, quelques trauerſes & trauaux de la vie qui leur arriuent.","Car mon intention n'est autre que de l'écrire pour eux, afin qu'à l'avenir ils puissent voir combien grandes ont été les fortunes que j'ai courues par l'espace de vingt et un an, que j'ai été treize fois captif, et dix-sept fois vendu aux Indes, en Éthiopie, en l'Arabie heureuse, à la Chine, en Tartarie, à Madagascar, en Sumatra, et en plusieurs autres Royaumes et Provinces de cet Oriental Archipelago, des confins de l'Asie, que les Auteurs Chinois, Siames, Gueos, et Lecquiens, nomment avec raison en leur Géographie, les paupières du monde, de quoi j'espère traiter ci après en particulier et fort amplement, par où les hommes pourront prendre exemple à l'avenir, et résolution à ne perdre courage, quelques traverses et travaux de la vie qui leur arrivent."
Mendez1645_Voyages_bpt6k6580459m_numb_seg_replace.tsv,5,Gueos,"Car mon intention n’eſt autre que de l’eſcrire pour eux, afin qu’à l’aduenir ils puiſſent voir combien grandes ont eſté les fortunes que i’ay couruës par l’eſpace de vingt & vn an, que i’ay eſté treize fois captif, & dix-ſept fois vendu aux Indes, en Ethiopie, en l’Arabie heureuſe, à la Chine, en Tartarie, à Madagaſcar, en Sumatra, & en pluſieurs autres Royaumes & Prouinces de cet Oriental Archipelago, des confins de l’Aſie, que les Autheurs Chinois, Siames, Gueos, & Lecquiens, nomment auec raiſon en leur Geographie, les paupieres du monde, de quoy i’eſpere traitter cy apres en particulier & fort amplement, par où les hommes pourront prendre exemple à l’aduenir, & reſolution à ne perdre courage, quelques trauerſes & trauaux de la vie qui leur arriuent.","Car mon intention n'est autre que de l'écrire pour eux, afin qu'à l'avenir ils puissent voir combien grandes ont été les fortunes que j'ai courues par l'espace de vingt et un an, que j'ai été treize fois captif, et dix-sept fois vendu aux Indes, en Éthiopie, en l'Arabie heureuse, à la Chine, en Tartarie, à Madagascar, en Sumatra, et en plusieurs autres Royaumes et Provinces de cet Oriental Archipelago, des confins de l'Asie, que les Auteurs Chinois, Siames, Gueos, et Lecquiens, nomment avec raison en leur Géographie, les paupières du monde, de quoi j'espère traiter ci après en particulier et fort amplement, par où les hommes pourront prendre exemple à l'avenir, et résolution à ne perdre courage, quelques traverses et travaux de la vie qui leur arrivent."
Mendez1645_Voyages_bpt6k6580459m_numb_seg_replace.tsv,5,Lecquiens,"Car mon intention n’eſt autre que de l’eſcrire pour eux, afin qu’à l’aduenir ils puiſſent voir combien grandes ont eſté les fortunes que i’ay couruës par l’eſpace de vingt & vn an, que i’ay eſté treize fois captif, & dix-ſept fois vendu aux Indes, en Ethiopie, en l’Arabie heureuſe, à la Chine, en Tartarie, à Madagaſcar, en Sumatra, & en pluſieurs autres Royaumes & Prouinces de cet Oriental Archipelago, des confins de l’Aſie, que les Autheurs Chinois, Siames, Gueos, & Lecquiens, nomment auec raiſon en leur Geographie, les paupieres du monde, de quoy i’eſpere traitter cy apres en particulier & fort amplement, par où les hommes pourront prendre exemple à l’aduenir, & reſolution à ne perdre courage, quelques trauerſes & trauaux de la vie qui leur arriuent.","Car mon intention n'est autre que de l'écrire pour eux, afin qu'à l'avenir ils puissent voir combien grandes ont été les fortunes que j'ai courues par l'espace de vingt et un an, que j'ai été treize fois captif, et dix-sept fois vendu aux Indes, en Éthiopie, en l'Arabie heureuse, à la Chine, en Tartarie, à Madagascar, en Sumatra, et en plusieurs autres Royaumes et Provinces de cet Oriental Archipelago, des confins de l'Asie, que les Auteurs Chinois, Siames, Gueos, et Lecquiens, nomment avec raison en leur Géographie, les paupières du monde, de quoi j'espère traiter ci après en particulier et fort amplement, par où les hommes pourront prendre exemple à l'avenir, et résolution à ne perdre courage, quelques traverses et travaux de la vie qui leur arrivent."
Mendez1645_Voyages_bpt6k6580459m_numb_seg_replace.tsv,7,enuers,"Or afin que l’on m’aide à rendre graces au Seigneur tout puiſſant, de ce qu’il a vſé enuers moy d’vne miſericorde infinie, ſans auoir égard à tous mes pechez, que ie cōfeſſe eſtre la cauſe & l’origine de toutes mes infortunes, & tenir de cette meſme puiſſance diuine la force & le courage d’y auoir reſiſté, en m’eſchappant de tant de dangers la vie ſauue:","Or afin que l'on m'aide à rendre grâces au Seigneur tout-puissant, de ce qu'il a usé enuers moi d'une miséricorde infinie, sans avoir égard à tous mes péchés, que je confesse être la cause et l'origine de toutes mes infortunes, et tenir de cette même puissance divine la force et le courage d'y avoir résisté, en m'échappant de tant de dangers la vie sauve:"
Mendez1645_Voyages_bpt6k6580459m_numb_seg_replace.tsv,8,Monte-mor,"Ie prens pour commencement de ce mien voyage, le temps que i’ay paſſé en ce Royaume de Portugal, & dis qu’apres y auoir veſcu iuſques à l’âge de dix ou douze ans, en la miſere & pauureté de la maison de mon pere, dans la ville de Monte-mor Ouelho, vn mien Oncle deſireux de m’auancer à vne meilleure fortune, que celle où i’eſtois reduit alors, & me dérober aux careſſes & aux mignardiſes de ma mere, me mena en cette ville de Lisbonne, où il me mit au ſeruice d’vne Dame de maiſon & de parenté tres illuſtre.","Je prends pour commencement de ce mien voyage, le temps que j'ai passé en ce Royaume de Portugal, et dis qu'après y avoir vécu jusqu'à l'âge de dix ou douze ans, en la misère et pauvreté de la maison de mon père, dans la ville de Monte-mor Ouelho, un mien Oncle désireux de m'avancer à une meilleure fortune, que celle où j'étais réduit alors, et me dérober aux caresses et aux mignardises de ma mère, me mena en cette ville de Lisbonne, où il me mit au service d'une Dame de maison et de parenté très illustre."
Mendez1645_Voyages_bpt6k6580459m_numb_seg_replace.tsv,8,Ouelho,"Ie prens pour commencement de ce mien voyage, le temps que i’ay paſſé en ce Royaume de Portugal, & dis qu’apres y auoir veſcu iuſques à l’âge de dix ou douze ans, en la miſere & pauureté de la maison de mon pere, dans la ville de Monte-mor Ouelho, vn mien Oncle deſireux de m’auancer à vne meilleure fortune, que celle où i’eſtois reduit alors, & me dérober aux careſſes & aux mignardiſes de ma mere, me mena en cette ville de Lisbonne, où il me mit au ſeruice d’vne Dame de maiſon & de parenté tres illuſtre.","Je prends pour commencement de ce mien voyage, le temps que j'ai passé en ce Royaume de Portugal, et dis qu'après y avoir vécu jusqu'à l'âge de dix ou douze ans, en la misère et pauvreté de la maison de mon père, dans la ville de Monte-mor Ouelho, un mien Oncle désireux de m'avancer à une meilleure fortune, que celle où j'étais réduit alors, et me dérober aux caresses et aux mignardises de ma mère, me mena en cette ville de Lisbonne, où il me mit au service d'une Dame de maison et de parenté très illustre."
Mendez1645_Voyages_bpt6k6580459m_numb_seg_replace.tsv,10,Luce,"Ce qui aduint en la meſme année, en laquelle dans la ville de Lisbonne ſe fit la pompe funèbre du defunt Roy Dom Emanuel d’heureuſe memoire, qui fut le iour de Saincte Luce, treiſieſme Decembre de l’année 1521, ce qui eſt la choſe la plus ancienne dont ie me puiſſe reſſouuenir.","Ce qui advint en la même année, en laquelle dans la ville de Lisbonne se fit la pompe funèbre du défunt Roi Dom Emmanuel d'heureuse mémoire, qui fut le jour de sainte Luce, treizième Décembre de l'année 1521, ce qui est la chose la plus ancienne dont je me puisse ressouvenir."
Mendez1645_Voyages_bpt6k6580459m_numb_seg_replace.tsv,16,Pedra,"Comme ie fuyois de cette ſorte, & ſemblois deſeſperer de ma vie, i’arriuay inſenſiblement au gay de Pedra, qui eſt vn petit Port ainſi nommé.","Comme je fuyais de cette sorte, et semblais désespérer de ma vie, j'arrivai insensiblement au gué de Pedra, qui est un petit Port ainsi nommé."
Mendez1645_Voyages_bpt6k6580459m_numb_seg_replace.tsv,17,d'Alfama,"Là ie trouuay vne Carauelle d’Alfama, qui eſtoit chargée de cheuaux, & du bagage d’vn Seigneur qui s’en alloit à Setuual, où tenoit ſa Cour alors le Roy Dom Iuan troiſieſme, que Dieu abſolue, à cauſe d’vne grande peſte ſuruenuë en plusieurs endroits du Royaume.","Là je trouvai une Caravelle d'Alfama, qui était chargée de chevaux, et du bagage d'un Seigneur qui s'en allait à Setubal, où tenait sa Cour alors le Roi Dom Juan troisième, que Dieu absolue, à cause d'une grande peste survenue en plusieurs endroits du Royaume."
Mendez1645_Voyages_bpt6k6580459m_numb_seg_replace.tsv,17,Setubal,"Là ie trouuay vne Carauelle d’Alfama, qui eſtoit chargée de cheuaux, & du bagage d’vn Seigneur qui s’en alloit à Setuual, où tenoit ſa Cour alors le Roy Dom Iuan troiſieſme, que Dieu abſolue, à cauſe d’vne grande peſte ſuruenuë en plusieurs endroits du Royaume.","Là je trouvai une Caravelle d'Alfama, qui était chargée de chevaux, et du bagage d'un Seigneur qui s'en allait à Setubal, où tenait sa Cour alors le Roi Dom Juan troisième, que Dieu absolue, à cause d'une grande peste survenue en plusieurs endroits du Royaume."
